uid,IPversion,protocol,dIPaddr,dport,allowed,
-1,6,0,ff02::16,0,false,
-1,6,58,ff02::2,0,true,
-1,6,0,ff02::16,0,false,
-1,6,0,ff02::16,0,false,
-1,6,0,ff02::16,0,false,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,58,ff02::2,0,true,
-1,6,0,ff02::16,0,false,
-1,6,58,ff02::2,0,true,
-1,6,0,ff02::16,0,false,
-1,6,0,ff02::16,0,false,
-1,6,0,ff02::16,0,false,
-1,6,58,ff02::2,0,true,
10059,4,6,54.239.24.180,443,true,
10059,4,6,31.13.67.16,443,true,
10059,4,6,54.239.24.180,443,true,
10059,4,6,172.67.187.140,443,true,
10059,4,6,31.13.67.16,443,true,
10059,4,6,172.67.187.140,443,true,
-1,6,58,ff02::2,0,true,
10059,4,6,172.217.8.130,443,true,
10059,4,6,172.217.8.130,443,true,
10059,4,6,54.239.24.180,443,true,
10059,4,6,31.13.67.16,443,true,
10059,4,6,172.217.8.130,443,true,
10059,4,6,172.217.8.130,443,true,
10059,4,6,172.67.187.140,443,true,
10059,4,6,192.48.236.2,443,true,
10059,4,6,192.48.236.2,443,true,
10059,4,6,192.48.236.2,443,true,
10059,4,6,192.48.236.2,443,true,
10059,4,6,192.48.236.2,443,true,
10059,4,6,192.48.236.2,443,true,
10059,4,6,31.13.67.16,443,true,
10059,4,6,192.229.173.16,443,true,
10059,4,6,151.101.2.110,443,true,
10059,4,6,192.48.236.4,443,true,
10059,4,6,192.48.236.4,443,true,
-1,6,58,ff02::2,0,true,
10059,4,17,172.217.8.130,443,true,
10033,4,6,52.8.156.132,443,false,
10033,4,6,52.8.156.132,443,false,
10059,4,6,172.217.2.129,443,true,
10059,4,6,172.217.2.129,443,true,
10059,4,6,172.217.2.129,443,true,
10059,4,6,172.217.2.129,443,true,
10059,4,6,172.217.2.129,443,true,
10059,4,6,172.217.2.129,443,true,
10033,4,6,52.8.156.132,443,false,
10059,4,6,142.250.64.195,443,true,
10059,4,6,142.250.64.195,443,true,
10059,4,6,172.217.15.202,443,true,
10059,4,6,172.217.15.202,443,true,
10059,4,6,172.217.8.130,443,true,
10059,4,6,172.217.2.130,443,true,
10059,4,6,172.217.2.130,443,true,
10033,4,6,52.8.156.132,443,false,
10033,4,6,54.177.111.87,443,false,
10033,4,6,54.177.111.87,443,false,
10059,4,6,54.239.24.180,443,true,
10059,4,17,172.217.2.130,443,true,
10033,4,6,54.177.111.87,443,false,
10033,4,6,54.177.111.87,443,false,
10033,4,6,52.53.73.173,443,false,
10033,4,6,52.53.73.173,443,false,
10033,4,6,52.53.73.173,443,false,
10033,4,6,52.53.73.173,443,false,
10033,4,6,52.9.196.171,443,false,
10059,4,6,68.180.135.251,443,true,
-1,6,58,ff02::2,0,true,
10033,4,6,52.9.196.171,443,false,
10033,4,6,52.9.196.171,443,false,
10033,4,6,52.9.196.171,443,false,
10038,4,6,10.0.2.2,2881,false,
10038,4,6,10.0.2.2,2881,false,
10059,4,6,31.13.67.16,443,true,
10059,4,6,31.13.67.16,443,true,
10038,4,6,10.0.2.2,2881,false,
10038,4,6,10.0.2.2,2881,false,
10038,4,6,172.217.3.147,80,false,
10038,4,6,172.217.3.147,80,false,
10038,4,6,172.217.3.147,80,false,
10038,4,6,10.0.2.2,2881,false,
10038,4,6,10.0.2.2,2881,false,
10038,4,6,10.0.2.2,2881,false,
10038,4,6,10.0.2.2,2881,false,
10038,4,6,172.217.3.147,80,false,
